Ano,Mês,Dt.Lanç,Emissão,Venc,Tipo,Contrato,Referente,Doc,Estab,Status,Valor R$
2020,jan,2020-01-06,2020-01-01,2020-01-16,CONTRATO,OI - TELECOM GERAL - DDR,OI - DDR,7812354,EQUIPLEX,LANÇADO,1275.13
2020,jan,2020-01-06,2020-01-01,2020-01-16,CONTRATO,OI - TELECOM GERAL - 0800,OI - 0800,7768846,EQUIPLEX,LANÇADO,300.0
2020,jan,2020-01-02,2020-01-02,2020-01-20,CONTRATO,ALLE TECNOLOGIA,Gestão de ERP Totvs 12,1821,I7 NÚCLEO,LANÇADO,1000.0
2020,jan,2020-01-03,2020-01-03,2020-01-12,CONTRATO,VALIDEINFO WEB,Serviços Consulta Web,825,I7 NÚCLEO,LANÇADO,150.0
2020,jan,2020-01-15,2020-01-03,2020-02-12,CONTRATO,VIRTOS BACKUP,Backup na Nuvem,12194,EQUIPLEX,LANÇADO,780.0
2020,jan,2020-01-24,2020-01-03,2020-02-05,CONTRATO,GRENKE - EQUIPLEX 2,Fatura 2,10340,EQUIPLEX,LANÇADO,1926.94
2020,jan,2020-01-06,2020-01-06,2020-01-15,CONTRATO,CLARO CELULAR,Celular - Equiplex,12296582,EQUIPLEX,LANÇADO,3960.22
2020,jan,2020-01-06,2020-01-06,2020-01-20,CONTRATO,APN ,Link Radio,223,I7 NÚCLEO,LANÇADO,334.95
2020,jan,2020-01-06,2020-01-06,2020-01-08,CONTRATO,MARCOS RIBEIRO - CAMERAS,Locação de Cameras,123,I7 NÚCLEO,LANÇADO,1857.0
2020,jan,2020-01-06,2020-01-06,2020-01-07,CONTRATO,MARCOS RIBEIRO - CAMERAS,Outros,124,I7 NÚCLEO,LANÇADO,505.76
2020,jan,2020-01-07,2020-01-06,2021-01-16,CONTRATO,CONTI CONSULTORIA,Consultoria em Sistemas - DP,67,I7 NÚCLEO,LANÇADO,1915.71
2020,jan,2020-01-08,2020-01-07,2020-02-20,CONTRATO,ALGAR TELECOM - I7,Internet,18334,I7 NÚCLEO,LANÇADO,3071.54
2020,jan,2020-01-08,2020-01-07,2020-02-05,CONTRATO,ACTTIVE - DOCNIX,Licença de Uso,5305,EQUIPLEX,LANÇADO,3055.0
2020,jan,2020-01-08,2020-01-08,2020-02-05,CONTRATO,INGRAM - OFFICE 365,Office 365 Licença,1117006,EQUIPLEX,LANÇADO,1445.2
2020,jan,2020-01-09,2020-01-08,2020-02-12,CONTRATO,TOTVS 06 - AACMBM/02 - AAD762/02 - AAETUY/01 - AAIIIF/01 - AAIZC5/01 - AAJQD4/01 - AAKFPN/01 - AALITT/01 - AAHVOT/03 - AAIBOR/04 - AADEV1/08,TOTVS6 - AACMBM/02 - AAD762/02 - AACMP4/01 - AADVE1/08,698763,EQUIPLEX,LANÇADO,3561.5
2020,jan,2020-01-09,2020-01-09,2021-01-23,CONTRATO,CONTI CONSULTORIA,Consultoria em Sistemas - DP,84,I7 NÚCLEO,LANÇADO,4175.11
2020,jan,2020-01-09,2020-01-09,2020-01-25,CONTRATO,BELLFONE - 1,Serviços de telefonia,2499,EQUIPLEX,LANÇADO,1269.0
2020,jan,2020-01-09,2020-01-09,2020-02-12,CONTRATO,TOTVS 04 - 943448/02,TOTVS4 - 943448/02,698764,EQUIPLEX,LANÇADO,2827.44
2020,jan,2020-01-10,2020-01-09,2020-01-10,CONTRATO,ILOC3 LOCAÇÕES - EQUIPLEX,NF 2 - Equiplex,1,EQUIPLEX,LANÇADO,2117.96
2020,jan,2020-01-10,2020-01-09,2020-01-20,CONTRATO,INFOMACH FIREWALL,Locação e Suporte SonicWall,4931,I7 NÚCLEO,LANÇADO,1900.0
2020,jan,2020-01-10,2020-01-09,2020-01-10,CONTRATO,ILOC3 LOCAÇÕES - I7,NF 1 - I7,2,I7 NÚCLEO,LANÇADO,1655.0
2020,jan,2020-01-14,2020-01-09,2020-01-25,CONTRATO,BELLFONE - 2,Serviços de telefonia,2500,EQUIPLEX,LANÇADO,3296.37
2020,jan,2020-01-13,2020-01-13,2020-01-28,CONTRATO,SANTODIGITAL 1,G Suite Business - Licenca,66500,I7 NÚCLEO,LANÇADO,4943.72
2020,jan,2020-01-13,2020-01-13,2020-01-23,CONTRATO,VALCANAIA,Consultoria Financeira,119,I7 NÚCLEO,LANÇADO,6268.0
2020,jan,2020-01-17,2020-01-16,2020-02-23,CONTRATO,TOTVS 00 - TICKETS,TICKETS,702642,EQUIPLEX,LANÇADO,431.92
2020,jan,2020-01-20,2020-01-16,2019-11-15,CONTRATO,NEOMIND - P3916/18,Licença de Uso Fusion,10213,I7 NÚCLEO,LANÇADO,1985.9
2020,jan,2020-01-21,2020-01-21,2020-02-05,CONTRATO,LOCAWEB,Hospedagem - tx anual,33407319,EQUIPLEX,LANÇADO,1114.8
2020,jan,2020-01-21,2020-01-21,2020-02-10,CONTRATO,DIGITAL WORLD,Loc.Impressoras e serviços,63021,I7 NÚCLEO,LANÇADO,1547.72
2020,jan,2020-01-27,2020-01-27,2020-02-05,CONTRATO,VALCANAIA,Consultoria Financeira,122,I7 NÚCLEO,LANÇADO,6480.0
2020,jan,2020-01-27,2020-01-27,2020-02-03,CONTRATO,CARLOS DIAS (MGC),Consultoria Servidores,1105,I7 NÚCLEO,LANÇADO,14640.0
2020,fev,2020-02-03,2020-02-03,2020-02-20,CONTRATO,APN ,Link Radio,122,I7 NÚCLEO,LANÇADO,334.95
