;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Descrição;Doc;C Nr / Pedido;Conta;Op/Proj;Classificação;Categoria;Prestador;Descrição2;Estab;CNPJ;Cod Datasul;Situação;Status; Valor R$ 
;2024;jan;02/01/24;02/01/24;16/01/24;CONTRATO;OI - TELECOM GERAL - DDR;P 01/12;OI - DDR;16743861;1006;4210309;0;0;Telefonia;OI S.A.;Serviços de Telefonia;EQUIPLEX;76.535.764/0328-51;20119;INATIVO;LANÇADO; 1.180,69 
;2024;jan;02/01/24;02/01/24;12/02/24;CONTRATO;VIRTOS BACKUP;P 01/12;Backup na Nuvem;27751;516;4210317;O;SEGURANCA;Consultoria;VIRTOS INFORMÁTICA LTDA;Backup na Nuvem;EQUIPLEX;03.348.929/0001-02;260982;ATIVO;LANÇADO; 360,00 
;2024;jan;02/01/24;02/01/24;12/01/24;CONTRATO;C&C COMPUTER CLOUD;P 01/12;Computação na Nuvem;6459;897;4210318;O;AMBINETE SISTEMAS;Cloud;C&C COMPUTAÇÃO E COMUN.INFORMATICA LTDA;Computação na Nuvem;I7 NÚCLEO;69.159.291/0001-61;8815;ATIVO;LANÇADO; 50.877,04 
;2024;jan;02/01/24;02/01/24;10/01/24;CONTRATO;C&C COMPUTER CLOUD;P 01/12;Computação na Nuvem;6460;897;4210318;O;AMBINETE SISTEMAS;Cloud;C&C COMPUTAÇÃO E COMUN.INFORMATICA LTDA;Computação na Nuvem;I7 NÚCLEO;69.159.291/0001-61;8815;ATIVO;LANÇADO; 2.800,00 
;2024;jan;02/01/24;02/01/24;17/01/24;CONTRATO;HPFS - LOCAÇÃO DESKTOP;P 01/12;Locação Desktops;170124;715;4210411;O;LEASING EQUIPAMENTOS;Locação;HP FIN SERV ARREND MERC;Locação de Desktops;I7 NÚCLEO;97.406.706/0001-90;1639;ATIVO;LANÇADO; 25.555,50 
;2024;jan;02/01/24;02/01/24;14/01/24;CONTRATO;HPFS - LOCAÇÃO NOTEBOOKS;P 01/12;Locação Notebooks;140124;1011;4210411;0;0;Locação;HP FIN SERV ARREND MERC;Locação de Notebooks;I7 NÚCLEO;97.406.706/0001-90;1639;INATIVO;LANÇADO; 1.857,27 
;2024;jan;02/01/24;02/01/24;15/01/24;CONTRATO;CLARO CELULAR;P 01/12;Claro Celular;61558649;968;4210309;O;CONECTIVIDADE GRUPO;Telefonia;CLARO S.A.;Serviços de Celular;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 6.221,94 
;2024;jan;02/01/24;02/01/24;15/01/24;CONTRATO;CLARO CELULAR;P 01/12;Claro Celular;57600482;968;4210309;O;CONECTIVIDADE GRUPO;Telefonia;CLARO S.A.;Serviços de Celular;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 61,74 
;2024;jan;02/01/24;02/01/24;15/01/24;CONTRATO;CLARO CELULAR;P 01/12;Claro Celular;25198193;968;4210309;O;CONECTIVIDADE GRUPO;Telefonia;CLARO S.A.;Serviços de Celular;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 42,15 
;2024;jan;02/01/24;02/01/24;20/01/24;CONTRATO;ALLE TECNOLOGIA;P 01/12;Gestão de ERP Totvs 12;4437;994;4210302;O;SUPORTE ERP;Consultoria Software;ALLE TECNOLOGIA LTDA ME;Gestão de Datasul;I7 NÚCLEO;21.067.649/0001-08;1082;ATIVO;LANÇADO; 800,00 
