;Ano;Mês;Dt.Lanç;Emissão;Venc;Tipo;Contrato;Parcela;Referente;Doc;C Nr / Pedido;Op/Proj;Classificação;Categoria;Prestador;Estab;CNPJ;Cod Datasul;Situação;Status;Valor R$
;2020;jan;06/01/20;01/01/20;16/01/20;CONTRATO;OI - TELECOM GERAL - DDR;;OI - DDR;7812354;1006;0;CONECTIVIDADE;Telefonia;OI S.A.;EQUIPLEX;76.535.764/0328-51;20119;INATIVO;LANÇADO; 1.275,13 
;2020;jan;06/01/20;01/01/20;16/01/20;CONTRATO;OI - TELECOM GERAL - 0800;;OI - 0800;7768846;956;O;CONECTIVIDADE;Telefonia;OI S.A.;EQUIPLEX;76.535.764/0328-51;20119;ATIVO;LANÇADO; 300,00 
;2020;jan;02/01/20;02/01/20;20/01/20;CONTRATO;ALLE TECNOLOGIA;P 09/12;Gestão de ERP Totvs 12;1821;994;O;DATASUL;Consultoria Software;ALLE TECNOLOGIA LTDA ME;I7 NÚCLEO;21.067.649/0001-08;1082;ATIVO;LANÇADO; 1.000,00 
;2020;jan;03/01/20;03/01/20;12/01/20;CONTRATO;VALIDEINFO WEB;P 05/12;Serviços Consulta Web;825;778;O;SISTEMAS;Consultoria;VALIDEINFO WEB;I7 NÚCLEO;13.342.264/0001-75;2108;ATIVO;LANÇADO; 150,00 
;2020;jan;15/01/20;03/01/20;12/02/20;CONTRATO;VIRTOS BACKUP;Parcela 1 2020;Backup na Nuvem;12194;516;O;SEGURANCA;Consultoria;VIRTOS INFORMÁTICA LTDA;EQUIPLEX;03.348.929/0001-02;260982;ATIVO;LANÇADO; 780,00 
;2020;jan;24/01/20;03/01/20;05/02/20;CONTRATO;GRENKE - EQUIPLEX 2;Loc.Equip: Notebooks, Coletores;Fatura 2;10340;976;0;INFRA ;Locação;GC LOCAÇÃO DE EQUIP LTDA;EQUIPLEX;14.262.033/0001-14;2230;INATIVO;LANÇADO; 1.926,94 
;2020;jan;06/01/20;06/01/20;15/01/20;CONTRATO;CLARO CELULAR;P 04/12;Celular - Equiplex;12296582;968;O;CONECTIVIDADE;Telefonia;CLARO S.A.;EQUIPLEX;40.432.544/0436-28;261010;ATIVO;LANÇADO; 3.960,22 
;2020;jan;06/01/20;06/01/20;20/01/20;CONTRATO;APN ;P 06/12;Link Radio;223;963;0;CONECTIVIDADE;Internet;APN NETWORKS LTDA;I7 NÚCLEO;07.895.690/0001-33;261263;INATIVO;LANÇADO; 334,95 
;2020;jan;06/01/20;06/01/20;08/01/20;CONTRATO;MARCOS RIBEIRO - CAMERAS;Parcela 04;Locação de Cameras;123;561;0;INFRA;Locação;MARCOS RIBEIRO;I7 NÚCLEO;25.232.698/0001-00;980;INATIVO;LANÇADO; 1.857,00 
;2020;jan;06/01/20;06/01/20;07/01/20;CONTRATO;MARCOS RIBEIRO - CAMERAS;Parcela 05;Outros;124;561;0;INFRA;Locação;MARCOS RIBEIRO;I7 NÚCLEO;25.232.698/0001-00;980;INATIVO;LANÇADO; 505,76 
;2020;jan;07/01/20;06/01/20;16/01/21;CONTRATO;CONTI CONSULTORIA;Demanda;Consultoria em Sistemas - DP;67;991;O;SISTEMAS;Consultoria;CONTI CONSULT  EM TEC DA INFORMACAO LTDA;I7 NÚCLEO;29.318.831/0001-98;1256;ATIVO;LANÇADO; 1.915,71 
;2020;jan;08/01/20;07/01/20;20/02/20;CONTRATO;ALGAR TELECOM - I7;P 11/12;Internet;18334;949;0;CONECTIVIDADE;Internet;ALGAR MULTIMIDIA S/A;I7 NÚCLEO;04.622.116/0010-04;983;INATIVO;LANÇADO; 3.071,54 
;2020;jan;08/01/20;07/01/20;05/02/20;CONTRATO;ACTTIVE - DOCNIX;P 01/12;Licença de Uso;5305;640;O;SISTEMAS;Consultoria Software;ACTTIVE LTDA;EQUIPLEX;25.076.779/0001-50;21092;ATIVO;LANÇADO; 3.055,00 
